t,I_a,omega_r,T_e
0,0,0,0
3.16E-30,1.58E-28,1.66E-54,2.22E-30
3.35E-05,0.001672955959362,0.000186382059707,2.36E-05
0.000200950914521,0.009988833274686,0.006686884766125,0.000140842549173
0.001038246391691,0.050364496154731,0.175485015751031,0.000710139395782
0.00522472377754,0.224385501930422,4.08294347866074,0.003163835577219
0.018738958293907,0.544992370224363,40.2061989284787,0.007684392420164
0.034947614455272,0.642476323782261,102.824505359732,0.00905891616533
0.053287232825419,0.592620152466301,171.891067230789,0.008355944149775
0.073287232825419,0.484596784655117,232.107644950423,0.006832814663637
0.093287232825419,0.381955589799754,275.005739990076,0.005385573816177
0.113287232825419,0.30265654415051,303.715276788428,0.004267457272522
0.133287232825419,0.247034672222184,322.164817470677,0.003483188878333
0.153287232825419,0.210169214128242,333.685046477635,0.002963385919208
0.173287232825419,0.186636456678391,340.724699063919,0.002631574039165
0.193287232825419,0.172014502834581,344.953959547331,0.002425404489968
0.213287232825419,0.163113557750217,347.459922854737,0.002299901164278
0.233287232825419,0.15778247956157,348.927702672606,0.002224732961818
0.253287232825419,0.154631688465526,349.778924189565,0.002180306807364
0.273287232825419,0.152790211163311,350.26832156896,0.002154341977403
0.293287232825419,0.151724271015826,350.547533357272,0.002139312221323
0.313287232825419,0.151112440208668,350.705724489068,0.002130685406942
0.333287232825419,0.150763897304708,350.79477988893,0.002125770951996
0.353287232825419,0.150566693732324,350.844618691596,0.002122990381626
0.373287232825419,0.150455815020965,350.872355771764,0.002121426991796
0.393287232825419,0.1503938357779,350.887711177226,0.002120553084468
0.413287232825419,0.150359380331482,350.896169057627,0.002120067262674
0.433287232825419,0.150340325804534,350.900804898393,0.002119798593844
0.453287232825419,0.150329841154417,350.903333653077,0.002119650760277
0.473287232825419,0.150324100156669,350.904706492888,0.002119569812209
0.493287232825419,0.15032097163921,350.905448267446,0.002119525700113
0.499999999999996,0.150320282644735,350.905610641687,0.002119515985291
0.5,0.150320282644735,350.905610641687,0.002119515985291
0.500000000000007,0.150320282644735,350.905610641684,0.002119515985291
0.520000000000007,0.15689764217988,343.129716128453,0.002212256754736
0.540000000000007,0.168378859854263,337.058968407968,0.002374141923945
0.560000000000007,0.17886875523766,332.776762075693,0.002522049448851
0.580000000000007,0.186843282873658,329.928477287925,0.002634490288519
0.600000000000007,0.192387343468556,328.105818451514,0.002712661542907
0.620000000000007,0.196041146151092,326.97125450503,0.00276418016073
0.640000000000007,0.198364320201925,326.279624387673,0.002796936914847
0.660000000000007,0.199803572173163,325.864911277956,0.002817230367642
0.680000000000007,0.200677692797441,325.619574192734,0.002829555468444
0.700000000000007,0.201200263267946,325.476071658066,0.002836923712078
0.720000000000007,0.201508638112661,325.392947015335,0.002841271797389
0.740000000000007,0.201688630397264,325.345205401943,0.002843809688601
0.760000000000007,0.201792699668251,325.317993201409,0.002845277065322
0.780000000000007,0.201852372931031,325.302588877497,0.002846118458328
0.800000000000007,0.201886336031688,325.293923653669,0.002846597338047
0.820000000000007,0.201905536105078,325.289077819976,0.002846868059082
0.840000000000007,0.201916323097161,325.286382809273,0.00284702015567
0.860000000000007,0.201922348468336,325.284891824153,0.002847105113404
0.880000000000007,0.201925695789175,325.284071102674,0.002847152310627
0.900000000000008,0.201927545706079,325.283621538235,0.002847178394456
0.920000000000008,0.201928562965918,325.283376460694,0.002847192737819
0.940000000000008,0.201929119633072,325.28324349131,0.002847200586826
0.960000000000008,0.201929422799227,325.283171689103,0.002847204861469
0.980000000000008,0.20192958712448,325.283133101873,0.002847207178455
1,0.201929675771418,325.283112465642,0.002847208428377
