t,I_a,omega_r,T_e
0,0,0,0
3.16E-30,1.18E-28,1.50E-63,5.53E-58
3.35E-05,0.001254892206932,3.28E-07,6.22E-08
0.000200950914521,0.007497928322234,7.03E-05,2.22E-06
0.001038246391691,0.037940900652163,0.009396181533252,5.69E-05
0.00522472377754,0.172379723849545,1.02454737037891,0.001173733383181
0.017310148185985,0.425285766613737,24.0664436805486,0.007144285339727
0.035448236457401,0.516385058058551,103.591642385585,0.010532814363352
0.050355140671403,0.462196389167888,165.322351627903,0.008438207335313
0.065262044885405,0.402152769115936,208.93468559839,0.006388210563451
0.082102268038903,0.358598153635636,243.005213315083,0.00507940911374
0.102102268038903,0.329610984720332,272.026497153862,0.004291414349308
0.120481542496647,0.313014814100891,292.449856244568,0.003870141816941
0.140481542496647,0.300490096901557,310.234020422615,0.003566624784268
0.160481542496647,0.291237189185685,324.695286676617,0.003350354464409
0.180481542496647,0.284113036299559,336.645352446858,0.003188448587117
0.200481542496647,0.278475929129924,346.630643876866,0.003063179302639
0.220481542496647,0.273928561241877,355.042299384024,0.00296395583823
0.240481542496647,0.27020733952606,362.172249594245,0.002883974250183
0.260481542496647,0.267128435434326,368.245050874862,0.002818625240195
0.280481542496647,0.26455874140248,373.437403204414,0.002764657442272
0.300481542496647,0.262399006765643,377.890823199284,0.002719702930688
0.320481542496647,0.260573461219194,381.720247094436,0.002681991883324
0.340481542496647,0.259023131499345,385.020083138331,0.002650172814743
0.360481542496648,0.25770137401048,387.868596596248,0.002623194927592
0.380481542496648,0.25657079490571,390.331165923748,0.002600228625543
0.400481542496648,0.255601070169546,392.462751778784,0.002580610329337
0.420481542496648,0.254767367284176,394.30980299995,0.0025638032516
0.440481542496648,0.254049179548291,395.91175086245,0.002549368932352
0.460481542496648,0.253429449932524,397.302196358828,0.002536946200678
0.480481542496648,0.252893902199937,398.509864639838,0.002526235367911
0.499999999999996,0.252440926904808,399.535798104452,0.002517193652274
0.5,0.252440926904808,399.535798104452,0.002517193652274
0.500000000000007,0.252440926904807,399.53579810444,0.002517193652274
0.512322270786597,0.256883195838612,380.146383152542,0.002606564564018
0.524644541573186,0.264404138347588,362.188092722566,0.002761427160826
0.542941776412933,0.276152156182338,338.377570790334,0.003012270527884
0.562941776412933,0.288335525910762,316.140322158003,0.003283926332338
0.582941776412933,0.299481656887719,297.575532959767,0.003542725881082
0.602941776412933,0.309419700326375,282.328202533384,0.003781751762528
0.622941776412933,0.318050828377975,270.006258324899,0.003995675012561
0.642941776412933,0.325357912436947,260.200687255123,0.00418138196182
0.662941776412933,0.33139787698872,252.507553762826,0.004338069838469
0.682941776412933,0.336283465014111,246.547604262965,0.004466919469255
0.702941776412933,0.340160859857025,241.980514907173,0.004570521717857
0.722941776412933,0.343188604633306,238.512706683996,0.004652247524831
0.742941776412933,0.345521237552418,235.899275357701,0.00471570456119
0.762941776412933,0.347298791514235,233.941531680862,0.004764349798196
0.782941776412933,0.348641614182518,232.481888946659,0.004801263518022
0.802941776412933,0.349649140115565,231.397597868531,0.00482905358675
0.822941776412933,0.350401127929281,230.59439150158,0.004849847542937
0.842941776412933,0.350960142612293,230.000666792655,0.004865334357246
0.862941776412933,0.351374445573355,229.562490813866,0.004876828039578
0.882941776412933,0.351680799423489,229.239498194747,0.004885335694984
0.902941776412933,0.351906945755587,229.001622575586,0.004891620689606
0.922941776412933,0.352073672777746,228.82654910268,0.004896256906997
0.942941776412933,0.352196477426052,228.697760206131,0.004899673169097
0.962941776412933,0.352286867780295,228.603053735553,0.004902188469813
0.982941776412933,0.352353365495772,228.53342873802,0.00490403931996
1,0.352395982815968,228.488828389678,0.004905225683841
